course_id,code,title,units,bucket,prereqs,coreqs,repeatable
ACCT 1011,ACCT 1011,,3,Elective,[],[],False
ACCT 1012,ACCT 1012,,3,Elective,[],[],False
ACCT 2203,ACCT 2203,,3,Elective,[],[],False
ACCT 2204,ACCT 2204,,3,Elective,[],[],False
ACCT 2265,ACCT 2265,,3,Elective,[],[],False
ACCT 2980,ACCT 2980,,1,Elective,[],[],False
ACCT 3320,ACCT 3320,,3,Elective,[],[],False
ACCT 3330,ACCT 3330,,3,Elective,[],[],False
ACCT 3343,ACCT 3343,,3,Elective,[],[],False
ACCT 3980,ACCT 3980,,3,Elective,[],[],False
ACCT 4310,ACCT 4310,,3,Elective,[],[],False
ACCT 6500,ACCT 6500,,3,Elective,[],[],False
ACCT 6515,ACCT 6515,,3,Elective,[],[],False
ACCT 6570,ACCT 6570,,3,Elective,[],[],False
ACCT 6585,ACCT 6585,,3,Elective,[],[],False
ACCT 6970,ACCT 6970,,3,Elective,[],[],False
AETH 2262,AETH 2262,,3,Elective,[],[],False
AETH 2265,AETH 2265,,3,Elective,[],[],False
AETH 2281,AETH 2281,,3,Elective,[],[],False
AETH 2284,AETH 2284,,3,Elective,[],[],False
AETH 2285,AETH 2285,,3,Elective,[],[],False
AETH 2291,AETH 2291,,3,Elective,[],[],False
AETH 2295,AETH 2295,,3,Elective,[],[],False
AHST 1003,AHST 1003,,3,Elective,[],[],False
AHST 1004,AHST 1004,,3,Elective,[],[],False
AHST 1006,AHST 1006,,3,Elective,[],[],False
AHST 1110,AHST 1110,,3,Elective,[],[],False
AHST 1112,AHST 1112,,3,Elective,[],[],False
AHST 1131,AHST 1131,,3,Elective,[],[],False
AHST 2250,AHST 2250,,3,Elective,[],[],False
AHST 2296,AHST 2296,,3,Elective,[],[],False
AHST 3980,AHST 3980,,0,Elective,[],[],False
AHST 3990,AHST 3990,,0,Elective,[],[],False
AMED 1060,AMED 1060,,3,Elective,[],[],False
AMED 1070,AMED 1070,,3,Elective,[],[],False
AMED 1115,AMED 1115,,3,Elective,[],[],False
AMST 2201,AMST 2201,,3,Elective,[],[],False
AMST 3990,AMST 3990,,3,Elective,[],[],False
AMST 5999,AMST 5999,,3,Elective,[],[],False
ANTH 1100,ANTH 1100,,3,Elective,[],[],False
ANTH 1110,ANTH 1110,,3,Elective,[],[],False
ANTH 1116,ANTH 1116,,3,Elective,[],[],False
ANTH 1125,ANTH 1125,,3,Elective,[],[],False
ANTH 1200,ANTH 1200,,3,Elective,[],[],False
ANTH 1210,ANTH 1210,,3,Elective,[],[],False
ANTH 1510,ANTH 1510,,3,Elective,[],[],False
ARBC 1110,ARBC 1110,,3,Elective,[],[],False
ARSC 2980,ARSC 2980,,0,Elective,[],[],False
ASST 4999,ASST 4999,,3,Elective,[],[],False
BIEG 3201,BIEG 3201,,3,Elective,[],[],False
BIEG 3331,BIEG 3331,,3,Elective,[],[],False
BIEG 3335,BIEG 3335,,3,Elective,[],[],False
BIEG 4350,BIEG 4350,,3,Elective,[],[],False
BIEG 4387,BIEG 4387,,3,Elective,[],[],False
BIEG 5335,BIEG 5335,,3,Elective,[],[],False
BIEG 5350,BIEG 5350,,3,Elective,[],[],False
BIEG 5387,BIEG 5387,,3,Elective,[],[],False
BIEG 5415,BIEG 5415,,3,Elective,[],[],False
BIEG 6971,BIEG 6971,,3,Elective,[],[],False
BIOL 1015,BIOL 1015,,3,Elective,[],[],False
BIOL 1018,BIOL 1018,,3,Elective,[],[],False
BIOL 1030,BIOL 1030,,3,Elective,[],[],False
BIOL 1076,BIOL 1076,,3,Elective,[],[],False
BIOL 1078,BIOL 1078,,3,Elective,[],[],False
BIOL 1088,BIOL 1088,,3,Elective,[],[],False
BIOL 1107L,BIOL 1107L,,0,Elective,[],[],False
BIOL 1107,BIOL 1107,,4,Elective,[],[],False
BIOL 1151L,BIOL 1151L,,0,Elective,[],[],False
BIOL 1151,BIOL 1151,,4,Elective,[],[],False
BIOL 1171L,BIOL 1171L,,0,Elective,[],[],False
BIOL 1171P,BIOL 1171P,,0,Elective,[],[],False
BIOL 1171,BIOL 1171,,4,Elective,[],[],False
BIOL 1173L,BIOL 1173L,,0,Elective,[],[],False
BIOL 1173,BIOL 1173,,4,Elective,[],[],False
BIOL 2261L,BIOL 2261L,,0,Elective,[],[],False
BIOL 2261,BIOL 2261,,4,Elective,[],[],False
BIOL 2262L,BIOL 2262L,,0,Elective,[],[],False
BIOL 2262,BIOL 2262,,4,Elective,[],[],False
BIOL 2951,BIOL 2951,,1,Elective,[],[],False
BIOL 2952,BIOL 2952,,1,Elective,[],[],False
